"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"14106107182","61808","5","5","4","4","3","4","2","17","50"
"14106107184","61808","4","5","0","4","2","3","4","13","44"
"14106107185","61808","5","5","3","4","4","3","3","17","54"
"14106107186","61808","5","5","4","4","3","4","4","19","54"
"14106107187","61808","5","5","4","4","4","3","2","17","53"
"14106107188","61808","5","5","2","3","2","3","3","13","53"
"14106107189","61808","5","5","2","2","4","4","4","16","46"
"14106107192","61808","4","5","3","3","4","4","0","14","52"
"14106107197","61808","5","5","4","0","3","4","4","15","48"
"14106107198","61808","4","5","3","2","2","3","4","14","48"
"14106107201","61808","5","5","3","4","0","3","4","14","54"
"14106107202","61808","4","5","1","4","4","2","4","15","57"
"14106107203","61808","4","5","2","3","3","4","4","16","59"
"14106107204","61808","4","5","3","1","2","2","3","11","AB"
"14106107205","61808","5","5","3","3","3","4","3","16","50"
"14106107206","61808","5","5","4","3","1","3","2","13","45"
"14106107207","61808","4","4","3","2","1","2","3","11","50"
"14106107209","61808","5","5","3","3","3","2","4","15","53"
"14106107211","61808","4","4","4","4","0","1","1","10","52"
"14106107263","61808","5","5","3","4","4","1","4","16","62"
"14106107264","61808","5","5","4","4","4","4","0","16","52"
"14106107265","61808","5","5","4","3","4","3","2","16","54"
"14106107266","61808","5","5","4","3","2","4","4","17","48"
"14106107267","61808","5","4","2","1","3","1","4","11","52"
"14106107268","61808","5","5","4","0","4","2","3","13","52"
"14106107269","61808","4","4","0","0","2","4","4","10","38"
"14106107316","61808","5","5","3","4","4","2","4","17","53"
"14106107270","61808","5","5","4","3","1","4","3","15","53"
"14106107317","61808","5","5","4","4","4","1","4","17","50"
"14106107318","61808","5","5","4","4","2","4","3","17","53"
